file,label,is_test
N_0.csv.gz,N,False
N_1_(1772rpm).csv.gz,N,False
N_2_(1750rpm).csv.gz,N,True
N_3.csv.gz,N,False
B007_0.csv.gz,B,False
B007_1.csv.gz,B,True
B007_2.csv.gz,B,False
B007_3.csv.gz,B,False
B014_0.csv.gz,B,False
B014_1.csv.gz,B,False
B014_2.csv.gz,B,False
B014_3.csv.gz,B,True
B021_0.csv.gz,B,False
B021_1.csv.gz,B,True
B021_2.csv.gz,B,True
B021_3.csv.gz,B,False
B028_0_(1797rpm).csv.gz,B,False
B028_1_(1772rpm).csv.gz,B,False
B028_2_(1750rpm).csv.gz,B,False
B028_3_(1730rpm).csv.gz,B,False
IR007_0.csv.gz,IR,False
IR007_1.csv.gz,IR,True
IR007_2.csv.gz,IR,True
IR007_3.csv.gz,IR,False
IR014_0.csv.gz,IR,False
IR014_1.csv.gz,IR,False
IR014_2.csv.gz,IR,False
IR014_3.csv.gz,IR,False
IR021_0.csv.gz,IR,True
IR021_1.csv.gz,IR,True
IR021_2.csv.gz,IR,False
IR021_3.csv.gz,IR,False
IR028_0_(1797rpm).csv.gz,IR,False
IR028_1_(1772rpm).csv.gz,IR,False
IR028_2_(1750rpm).csv.gz,IR,False
IR028_3_(1730rpm).csv.gz,IR,False
OR007@3_0.csv.gz,OR,False
OR007@3_1.csv.gz,OR,False
OR007@3_2.csv.gz,OR,False
OR007@3_3.csv.gz,OR,False
OR021@3_0.csv.gz,OR,False
OR021@3_1.csv.gz,OR,True
OR021@3_2.csv.gz,OR,False
OR021@3_3.csv.gz,OR,False
OR007@6_0.csv.gz,OR,False
OR007@6_1.csv.gz,OR,False
OR007@6_2.csv.gz,OR,False
OR007@6_3.csv.gz,OR,False
OR014@6_0.csv.gz,OR,True
OR014@6_1.csv.gz,OR,False
OR014@6_2.csv.gz,OR,True
OR014@6_3.csv.gz,OR,False
OR021@6_0.csv.gz,OR,False
OR021@6_1.csv.gz,OR,False
OR021@6_2.csv.gz,OR,True
OR021@6_3.csv.gz,OR,False
OR007@12_0.csv.gz,OR,False
OR007@12_1.csv.gz,OR,False
OR007@12_2.csv.gz,OR,False
OR007@12_3.csv.gz,OR,True
OR021@12_0.csv.gz,OR,False
OR021@12_1.csv.gz,OR,False
OR021@12_2.csv.gz,OR,True
OR021@12_3.csv.gz,OR,False
