feature,importance
band_6000_10000_ratio,0.08025662637989779
band_10000_16000_ratio,0.07273259704287811
rms,0.07156511299748597
std,0.06887874511931522
rms_freq,0.060452805251083576
freq_std,0.058263200317451615
BPFI_ratio,0.04968377131186456
p2p,0.049101976069409164
BPFI_score,0.033174984663115734
spec_centroid,0.03048762048351111
bpfi_3E,0.028059011729221206
bsf_3E,0.02797784651352441
shape_factor,0.026736542978884822
freq_peak,0.025797193644048057
band_3000_6000_ratio,0.023791617365655437
spec_entropy,0.02313318679058723
band_0_3000_ratio,0.023051296639805215
bpfo_2E,0.02131707007214181
bpfi_E,0.019270630326932648
kurtosis,0.017384160223399458
bsf_E,0.016603890805710366
sum_ratio,0.01531912802589463
bpfi_2E,0.014569182076831869
sig_entropy,0.013146142197034158
bpfo_3E,0.012641824061698503
bpfi_SNR,0.011615287846290488
clearance_factor,0.010809556517694928
bsf_2E,0.010620986547343642
bpfo_E,0.009713120770197549
BSF_ratio,0.009631245560808775
BSF_score,0.008652461492664222
BPFO_ratio,0.008290467097470723
bsf_SNR,0.008096363457403024
impulse_factor,0.007640639199005992
BPFO_score,0.007532797175051302
skew,0.007112866718375513
bpfo_SNR,0.005870071759916888
mean,0.005835888710334122
crest_factor,0.005182084060060234
spec_rolloff95,0.0
