feature,importance
band_6000_10000_ratio,1755.2
std,1708.2
spec_entropy,1639.8
freq_peak,1564.4
spec_centroid,1435.4
band_10000_16000_ratio,1337.6
band_3000_6000_ratio,1260.4
shape_factor,1063.0
band_0_3000_ratio,1031.2
freq_std,924.2
mean,762.8
bpfo_2E,630.8
bpfi_E,617.8
bsf_E,594.8
BPFI_ratio,580.6
BSF_ratio,576.0
p2p,531.0
bpfi_3E,463.2
skew,426.0
rms_freq,419.8
bpfo_E,407.6
BPFO_ratio,400.8
sum_ratio,390.4
bsf_SNR,389.6
bsf_3E,385.4
kurtosis,375.6
bpfi_SNR,347.2
BSF_score,344.4
BPFI_score,327.2
rms,308.2
bpfi_2E,228.4
sig_entropy,222.8
bsf_2E,208.6
crest_factor,198.6
bpfo_3E,196.4
bpfo_SNR,188.2
BPFO_score,160.6
clearance_factor,144.8
impulse_factor,108.8
spec_rolloff95,0.0
