path,file,split,sr_hz,label,size_code,load,rpm,clock_pos,csv_path
0数据集/源域数据集/48kHz_Normal_data/N_0.mat,N_0.mat,48kHz_Normal_data,48000,N,,0,1796,,第1问/0csv无处理/48kHz_Normal_data/N_0.csv
0数据集/源域数据集/48kHz_Normal_data/N_1_(1772rpm).mat,N_1_(1772rpm).mat,48kHz_Normal_data,48000,N,,1,1772,,第1问/0csv无处理/48kHz_Normal_data/N_1_(1772rpm).csv
0数据集/源域数据集/48kHz_Normal_data/N_2_(1750rpm).mat,N_2_(1750rpm).mat,48kHz_Normal_data,48000,N,,2,1750,,第1问/0csv无处理/48kHz_Normal_data/N_2_(1750rpm).csv
0数据集/源域数据集/48kHz_Normal_data/N_3.mat,N_3.mat,48kHz_Normal_data,48000,N,,3,1725,,第1问/0csv无处理/48kHz_Normal_data/N_3.csv
0数据集/源域数据集/12kHz_FE_data/B/0021/B021_0.mat,B021_0.mat,12kHz_FE_data,12000,B,021,0,1796,,第1问/0csv无处理/12kHz_FE_data/B/0021/B021_0.csv
0数据集/源域数据集/12kHz_FE_data/B/0021/B021_1.mat,B021_1.mat,12kHz_FE_data,12000,B,021,1,1775,,第1问/0csv无处理/12kHz_FE_data/B/0021/B021_1.csv
0数据集/源域数据集/12kHz_FE_data/B/0021/B021_2.mat,B021_2.mat,12kHz_FE_data,12000,B,021,2,1756,,第1问/0csv无处理/12kHz_FE_data/B/0021/B021_2.csv
0数据集/源域数据集/12kHz_FE_data/B/0021/B021_3.mat,B021_3.mat,12kHz_FE_data,12000,B,021,3,1734,,第1问/0csv无处理/12kHz_FE_data/B/0021/B021_3.csv
0数据集/源域数据集/12kHz_FE_data/B/0007/B007_0.mat,B007_0.mat,12kHz_FE_data,12000,B,007,0,1798,,第1问/0csv无处理/12kHz_FE_data/B/0007/B007_0.csv
0数据集/源域数据集/12kHz_FE_data/B/0007/B007_1.mat,B007_1.mat,12kHz_FE_data,12000,B,007,1,1777,,第1问/0csv无处理/12kHz_FE_data/B/0007/B007_1.csv
0数据集/源域数据集/12kHz_FE_data/B/0007/B007_2.mat,B007_2.mat,12kHz_FE_data,12000,B,007,2,1755,,第1问/0csv无处理/12kHz_FE_data/B/0007/B007_2.csv
