path,file,split,sr_hz,label,size_code,load,rpm,clock_pos,csv_path,npy_path,channels
0数据集/源域数据集/48kHz_Normal_data/N_0.mat,N_0.mat,48kHz_Normal_data,32000,N,,0,1796,,第1问/1.2csv_32k_DE/48kHz_Normal_data/N_0.csv,第1问/1.1npy_32k/48kHz_Normal_data/N_0.npy,DE
0数据集/源域数据集/48kHz_Normal_data/N_1_(1772rpm).mat,N_1_(1772rpm).mat,48kHz_Normal_data,32000,N,,1,1772,,第1问/1.2csv_32k_DE/48kHz_Normal_data/N_1_(1772rpm).csv,第1问/1.1npy_32k/48kHz_Normal_data/N_1_(1772rpm).npy,DE
0数据集/源域数据集/48kHz_Normal_data/N_2_(1750rpm).mat,N_2_(1750rpm).mat,48kHz_Normal_data,32000,N,,2,1750,,第1问/1.2csv_32k_DE/48kHz_Normal_data/N_2_(1750rpm).csv,第1问/1.1npy_32k/48kHz_Normal_data/N_2_(1750rpm).npy,DE
0数据集/源域数据集/48kHz_Normal_data/N_3.mat,N_3.mat,48kHz_Normal_data,32000,N,,3,1725,,第1问/1.2csv_32k_DE/48kHz_Normal_data/N_3.csv,第1问/1.1npy_32k/48kHz_Normal_data/N_3.npy,DE
0数据集/源域数据集/12kHz_FE_data/B/0021/B021_0.mat,B021_0.mat,12kHz_FE_data,32000,B,21.0,0,1796,,第1问/1.2csv_32k_DE/12kHz_FE_data/B/0021/B021_0.csv,第1问/1.1npy_32k/12kHz_FE_data/B/0021/B021_0.npy,X290_DE_time
0数据集/源域数据集/12kHz_FE_data/B/0021/B021_1.mat,B021_1.mat,12kHz_FE_data,32000,B,21.0,1,1775,,第1问/1.2csv_32k_DE/12kHz_FE_data/B/0021/B021_1.csv,第1问/1.1npy_32k/12kHz_FE_data/B/0021/B021_1.npy,X291_DE_time
0数据集/源域数据集/12kHz_FE_data/B/0021/B021_2.mat,B021_2.mat,12kHz_FE_data,32000,B,21.0,2,1756,,第1问/1.2csv_32k_DE/12kHz_FE_data/B/0021/B021_2.csv,第1问/1.1npy_32k/12kHz_FE_data/B/0021/B021_2.npy,X292_DE_time
0数据集/源域数据集/12kHz_FE_data/B/0021/B021_3.mat,B021_3.mat,12kHz_FE_data,32000,B,21.0,3,1734,,第1问/1.2csv_32k_DE/12kHz_FE_data/B/0021/B021_3.csv,第1问/1.1npy_32k/12kHz_FE_data/B/0021/B021_3.npy,X293_DE_time
0数据集/源域数据集/12kHz_FE_data/B/0007/B007_0.mat,B007_0.mat,12kHz_FE_data,32000,B,7.0,0,1798,,第1问/1.2csv_32k_DE/12kHz_FE_data/B/0007/B007_0.csv,第1问/1.1npy_32k/12kHz_FE_data/B/0007/B007_0.npy,X282_DE_time
0数据集/源域数据集/12kHz_FE_data/B/0007/B007_1.mat,B007_1.mat,12kHz_FE_data,32000,B,7.0,1,1777,,第1问/1.2csv_32k_DE/12kHz_FE_data/B/0007/B007_1.csv,第1问/1.1npy_32k/12kHz_FE_data/B/0007/B007_1.npy,X283_DE_time
0数据集/源域数据集/12kHz_FE_data/B/0007/B007_2.mat,B007_2.mat,12kHz_FE_data,32000,B,7.0,2,1755,,第1问/1.2csv_32k_DE/12kHz_FE_data/B/0007/B007_2.csv,第1问/1.1npy_32k/12kHz_FE_data/B/0007/B007_2.npy,X284_DE_time
0数据集/源域数据集/12kHz_FE_data/B/0007/B007_3.mat,B007_3.mat,12kHz_FE_data,32000,B,7.0,3,1732,,第1问/1.2csv_32k_DE/12kHz_FE_data/B/0007/B007_3.csv,第1问/1.1npy_32k/12kHz_FE_data/B/0007/B007_3.npy,X285_DE_time
0数据集/源域数据集/12kHz_FE_data/B/0014/B014_0.mat,B014_0.mat,12kHz_FE_data,32000,B,14.0,0,1796,,第1问/1.2csv_32k_DE/12kHz_FE_data/B/0014/B014_0.csv,第1问/1.1npy_32k/12kHz_FE_data/B/0014/B014_0.npy,X286_DE_time
0数据集/源域数据集/12kHz_FE_data/B/0014/B014_1.mat,B014_1.mat,12kHz_FE_data,32000,B,14.0,1,1775,,第1问/1.2csv_32k_DE/12kHz_FE_data/B/0014/B014_1.csv,第1问/1.1npy_32k/12kHz_FE_data/B/0014/B014_1.npy,X287_DE_time
0数据集/源域数据集/12kHz_FE_data/B/0014/B014_2.mat,B014_2.mat,12kHz_FE_data,32000,B,14.0,2,1755,,第1问/1.2csv_32k_DE/12kHz_FE_data/B/0014/B014_2.csv,第1问/1.1npy_32k/12kHz_FE_data/B/0014/B014_2.npy,X288_DE_time
0数据集/源域数据集/12kHz_FE_data/B/0014/B014_3.mat,B014_3.mat,12kHz_FE_data,32000,B,14.0,3,1732,,第1问/1.2csv_32k_DE/12kHz_FE_data/B/0014/B014_3.csv,第1问/1.1npy_32k/12kHz_FE_data/B/0014/B014_3.npy,X289_DE_time
0数据集/源域数据集/12kHz_FE_data/IR/0021/IR021_0.mat,IR021_0.mat,12kHz_FE_data,32000,IR,21.0,0,1796,,第1问/1.2csv_32k_DE/12kHz_FE_data/IR/0021/IR021_0.csv,第1问/1.1npy_32k/12kHz_FE_data/IR/0021/IR021_0.npy,X270_DE_time
0数据集/源域数据集/12kHz_FE_data/IR/0021/IR021_1.mat,IR021_1.mat,12kHz_FE_data,32000,IR,21.0,1,1776,,第1问/1.2csv_32k_DE/12kHz_FE_data/IR/0021/IR021_1.csv,第1问/1.1npy_32k/12kHz_FE_data/IR/0021/IR021_1.npy,X271_DE_time
