位置,发生点,赫兹,故障类,尺寸,负载,转速,采样点
第3问_CNN/inputs/48kHz_Normal_data/N_0.csv,Normal,48000,N,,0,1796,
第3问_CNN/inputs/48kHz_Normal_data/N_1_(1772rpm).csv,Normal,48000,N,,1,1772,
第3问_CNN/inputs/48kHz_Normal_data/N_2_(1750rpm).csv,Normal,48000,N,,2,1750,
第3问_CNN/inputs/48kHz_Normal_data/N_3.csv,Normal,48000,N,,3,1725,
第3问_CNN/inputs/12kHz_FE_data/B/0021/B021_0.csv,FE,12000,B,0.021,0,1796,
第3问_CNN/inputs/12kHz_FE_data/B/0021/B021_1.csv,FE,12000,B,0.021,1,1775,
第3问_CNN/inputs/12kHz_FE_data/B/0021/B021_2.csv,FE,12000,B,0.021,2,1756,
第3问_CNN/inputs/12kHz_FE_data/B/0021/B021_3.csv,FE,12000,B,0.021,3,1734,
第3问_CNN/inputs/12kHz_FE_data/B/0007/B007_0.csv,FE,12000,B,0.007,0,1798,
第3问_CNN/inputs/12kHz_FE_data/B/0007/B007_1.csv,FE,12000,B,0.007,1,1777,
第3问_CNN/inputs/12kHz_FE_data/B/0007/B007_2.csv,FE,12000,B,0.007,2,1755,
第3问_CNN/inputs/12kHz_FE_data/B/0007/B007_3.csv,FE,12000,B,0.007,3,1732,
第3问_CNN/inputs/12kHz_FE_data/B/0014/B014_0.csv,FE,12000,B,0.014,0,1796,
第3问_CNN/inputs/12kHz_FE_data/B/0014/B014_1.csv,FE,12000,B,0.014,1,1775,
第3问_CNN/inputs/12kHz_FE_data/B/0014/B014_2.csv,FE,12000,B,0.014,2,1755,
第3问_CNN/inputs/12kHz_FE_data/B/0014/B014_3.csv,FE,12000,B,0.014,3,1732,
第3问_CNN/inputs/12kHz_FE_data/IR/0021/IR021_0.csv,FE,12000,IR,0.021,0,1796,
第3问_CNN/inputs/12kHz_FE_data/IR/0021/IR021_1.csv,FE,12000,IR,0.021,1,1776,
第3问_CNN/inputs/12kHz_FE_data/IR/0021/IR021_2.csv,FE,12000,IR,0.021,2,1758,
第3问_CNN/inputs/12kHz_FE_data/IR/0021/IR021_3.csv,FE,12000,IR,0.021,3,1737,
第3问_CNN/inputs/12kHz_FE_data/IR/0007/IR007_0.csv,FE,12000,IR,0.007,0,1796,
